ip.src,ip.dst,ip.proto,eth.src,eth.dst,ipv6.src,ipv6.dst,ip.ttl,ip.id,ip.hdr_len,ip.len,ip.flags.df,tcp.stream,tcp.time_delta,tcp.time_relative,tcp.analysis.initial_rtt,tcp.flags,tcp.window_size_value,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,udp.stream,udp.length,icmp.length,http.request.method,http.response.code,http.content_length,ip.ttl
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x596d,20,28,0,,,,,,,,,,,62367,80,28,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x596d,20,28,0,,,,,,,,,,,62367,80,28,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x596e,20,28,0,,,,,,,,,,,62368,80,29,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x596e,20,28,0,,,,,,,,,,,62368,80,29,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x596f,20,28,0,,,,,,,,,,,62369,80,30,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x596f,20,28,0,,,,,,,,,,,62369,80,30,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5970,20,28,0,,,,,,,,,,,62370,80,31,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5970,20,28,0,,,,,,,,,,,62370,80,31,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5971,20,28,0,,,,,,,,,,,62371,80,32,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5971,20,28,0,,,,,,,,,,,62371,80,32,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5972,20,28,0,,,,,,,,,,,62372,80,33,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5972,20,28,0,,,,,,,,,,,62372,80,33,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5973,20,28,0,,,,,,,,,,,62373,80,34,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5973,20,28,0,,,,,,,,,,,62373,80,34,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5974,20,28,0,,,,,,,,,,,62374,80,35,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5974,20,28,0,,,,,,,,,,,62374,80,35,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5975,20,28,0,,,,,,,,,,,62375,80,36,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5975,20,28,0,,,,,,,,,,,62375,80,36,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5976,20,28,0,,,,,,,,,,,62376,80,37,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5976,20,28,0,,,,,,,,,,,62376,80,37,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5977,20,28,0,,,,,,,,,,,62377,80,38,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5977,20,28,0,,,,,,,,,,,62377,80,38,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5978,20,28,0,,,,,,,,,,,62378,80,39,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5978,20,28,0,,,,,,,,,,,62378,80,39,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5979,20,28,0,,,,,,,,,,,62379,80,40,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5979,20,28,0,,,,,,,,,,,62379,80,40,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x597a,20,28,0,,,,,,,,,,,62380,80,41,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x597a,20,28,0,,,,,,,,,,,62380,80,41,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x597b,20,28,0,,,,,,,,,,,62381,80,42,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x597b,20,28,0,,,,,,,,,,,62381,80,42,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x597c,20,28,0,,,,,,,,,,,62382,80,43,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x597c,20,28,0,,,,,,,,,,,62382,80,43,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x597d,20,28,0,,,,,,,,,,,62383,80,44,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x597d,20,28,0,,,,,,,,,,,62383,80,44,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x597e,20,28,0,,,,,,,,,,,62384,80,45,8,,,,,63
